exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,child,compliance,household,ext_group,FoI_max,FoI_community
0.6,0.9999999999999999,15.99999999999996,0.0,0.1,6.4063833794669875,7.213321261811295,1.021974e6,0,0,0,1,1.0,1801144,1,2.3630231301558395e-8,2.180620229055609e-9
8.799999999999985,2.0000000000000004,13.999999999999966,0.0,0.1,5.877509963994918,8.180645943154394,1.022039e6,0,0,0,0,1.0,1801261,2,0.015729594204671182,0.05729852165459078
1.0999999999999999,13.999999999999966,0.0,0.0,0.1,3.865972252346035,9.805252118058153,1.022511e6,0,0,0,1,1.0,1802095,0,3.608935401384115e-6,6.364459091387601e-7
4.5,2.0000000000000004,13.999999999999966,0.0,0.1,8.073277132406337,8.680391297427105,1.022794e6,0,0,0,0,1.0,1802590,2,0.061204020200130736,0.06800753994848252
2.800000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,23.523087132774812,9.388968360020478,1.022851e6,1,0,0,0,1.0,1802701,2,2.0059795888460493e-7,1.0955786676982458e-7
7.899999999999988,13.999999999999966,0.0,0.0,0.1,5.65908679862619,5.629031217545506,1.023022e6,0,1,0,0,1.0,1802999,0,0.017430838249951907,0.04658999154805307
3.3000000000000016,2.0000000000000004,13.999999999999966,0.0,0.1,11.73161403777697,5.569631392085883,1.023132e6,0,0,0,0,1.0,1803184,1,0.14363980142988025,0.1251480503679192
0.4,4.999999999999998,13.999999999999966,0.0,0.1,2.192345673623562,8.010970512755563,1.023261e6,0,0,0,0,1.0,1803408,2,0.17569494768622593,0.010424496490351303
11.199999999999976,0.9999999999999999,14.999999999999963,0.0,0.1,13.195339911831294,7.758292432440788,1.023377e6,0,1,0,1,1.0,1803615,1,7.346637773814793e-7,2.820459080873876e-6
8.399999999999986,2.0000000000000004,13.999999999999966,0.0,0.1,5.680096408270065,7.938778812536578,1.023407e6,0,1,0,0,1.0,1803668,1,1.2441916289302701,4.373155560730089
11.399999999999975,4.000000000000002,15.99999999999996,0.0,0.1,11.027990289214493,9.991929095169969,1.02453e6,0,1,0,1,1.0,1805639,1,0.008092719114564334,0.03658693546821726
0.7,2.0000000000000004,0.0,9.99999999999998,0.1,5.728025608182463,6.777680010850181,1.025923e6,0,0,0,0,1.0,1808111,2,10.3856407058957,1.1357087346674781
0.30000000000000004,2.0000000000000004,13.999999999999966,0.0,0.1,7.05518371036278,7.318228776142277,1.026498e6,0,0,0,0,1.0,1809115,1,1.0838730636601785,0.04865521510904404
13.999999999999966,13.999999999999966,0.0,0.0,0.1,6.559047521228964,7.764585348529554,1.027574e6,0,1,0,0,1.0,1811014,0,0.14259294528291494,0.5445291315811033
2.2000000000000006,2.0000000000000004,13.999999999999966,0.0,0.1,7.50938201080776,9.237459444132547,1.028493e6,0,0,0,1,1.0,1812632,1,1.677613317686201e-6,6.702451225463605e-7
4.4,2.0000000000000004,13.999999999999966,0.0,0.1,4.654942344327745,9.328411958182395,1.028631e6,0,0,0,0,1.0,1812871,1,0.2751883667483613,0.28539347039868246
1.3,2.0000000000000004,0.0,9.99999999999998,0.1,8.113255296923356,7.786473572904883,1.028783e6,1,0,0,0,1.0,1813147,2,0.2022291323789744,0.04389060794935555
0.2,2.0000000000000004,0.0,9.99999999999998,0.1,7.175445013118687,8.148081529268516,1.029039e6,1,0,0,0,1.0,1813603,2,2.982481358441219,0.08664183085372684
2.600000000000001,2.0000000000000004,13.999999999999966,0.0,0.1,2.8931365140989573,7.878454597322789,1.029408e6,0,0,0,0,1.0,1814246,2,2.7480071792073786,1.4390710049443478
11.399999999999975,0.9999999999999999,20.000000000000014,0.0,0.1,19.444096395586858,6.13468039381457,1.029873e6,0,1,0,1,1.0,1815061,1,2.232073305492856,7.41570059156375
10.399999999999979,13.999999999999966,0.0,0.0,0.1,5.674927398892232,5.599949204044283,1.029954e6,0,1,0,0,1.0,1815213,0,0.5404411260175466,1.5098780069185638
0.2,13.999999999999966,0.0,0.0,0.1,6.347074248991325,7.9857594833560475,1.03274e6,1,0,0,0,1.0,1820117,1,0.16743630176491853,0.004855812322808026
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,8.79160780184646,7.903805737541597,1.032845e6,1,0,0,0,1.0,1820305,2,5.5916274165608435,0.5112024303171248
2.1000000000000005,2.0000000000000004,0.0,9.99999999999998,0.1,4.9226114479742415,9.868845260375666,1.034748e6,1,0,0,0,1.0,1823657,2,0.029955704830124635,0.011091347249376519
10.899999999999977,0.9999999999999999,13.999999999999966,0.0,0.1,16.160467751584438,9.072142950723773,1.034963e6,0,0,0,1,1.0,1824034,2,2.869405230874604,12.082985040242333
0.5,2.0000000000000004,0.0,9.99999999999998,0.1,5.9472937638050265,8.591520017430566,1.035879e6,1,0,0,0,1.0,1825658,2,7.419379296344344,0.5558977092673779
1.5000000000000002,13.999999999999966,0.0,0.0,0.1,4.943348478447288,6.053846179963784,1.036543e6,0,0,0,1,1.0,1826821,1,0.009935951449923298,0.0027775917972756455
1.4000000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,6.175405590049983,8.905888121281192,1.036758e6,1,0,0,0,1.0,1827203,2,0.0005846270151451995,0.00013650756441264446
4.300000000000001,2.0000000000000004,15.99999999999996,0.0,0.1,11.500815287753264,9.652401854258002,1.036934e6,0,0,0,0,1.0,1827501,1,2.18175183548378e-5,2.1340445024393705e-5
14.899999999999963,2.0000000000000004,13.999999999999966,0.0,0.1,13.239066909628868,8.330731116381408,1.038118e6,0,1,0,0,1.0,1829602,2,0.013195561265954624,0.05664385832162262
1.6000000000000003,2.0000000000000004,0.0,9.99999999999998,0.1,4.761358774878977,9.73238730512887,1.038484e6,1,0,0,0,1.0,1830254,2,0.7797658073252357,0.21059362216784142
6.8999999999999915,13.999999999999966,0.0,0.0,0.1,2.7833399104930967,5.533806528691848,1.03907e6,0,1,0,1,1.0,1831287,0,0.0006230225477168324,0.0015797129574251223
1.5000000000000002,2.0000000000000004,13.999999999999966,0.0,0.1,8.412120761552922,6.7713183528217336,1.039261e6,0,0,0,0,1.0,1831618,2,6.439056006704279,1.7415472775486667
0.4,4.999999999999998,13.999999999999966,0.0,0.1,5.341681280921464,6.742279050660312,1.039406e6,0,0,0,0,1.0,1831865,1,1.3430016702265314e-8,8.214665513686266e-10
3.900000000000002,5.999999999999995,20.000000000000014,0.0,0.1,9.518580027481597,6.527851715724383,1.039546e6,0,0,0,1,1.0,1832099,1,10.497053958535718,11.04564820446607
10.19999999999998,13.999999999999966,0.0,0.0,0.1,2.6046763964044906,9.111218964565937,1.040048e6,0,0,0,1,1.0,1833011,2,3.0312104516106313,12.206705159897679
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,4.87220356800089,7.953969147514892,1.040882e6,1,0,0,0,1.0,1834483,2,9.220608515369486,0.846154028253079
5.099999999999998,13.999999999999966,0.0,0.0,0.1,4.483541067281922,8.800281177300079,1.041219e6,0,0,0,1,1.0,1835071,0,1.970058910702137,2.6781972320681042
5.699999999999996,13.999999999999966,0.0,0.0,0.1,2.367877845734681,5.486975206949374,1.041219e6,0,1,0,0,1.0,1835071,0,2.3363552691481253,5.572944383031764
13.199999999999969,2.0000000000000004,15.99999999999996,0.0,0.1,21.979664561836877,7.31419186628001,1.041699e6,0,1,0,0,1.0,1835911,1,0.03179154824474291,0.12573403389524498
1.3,2.0000000000000004,15.99999999999996,0.0,0.1,9.370303342100815,9.753747224661453,1.042386e6,0,0,0,1,1.0,1837121,2,0.03410214226968346,0.0071929355374571475
0.7999999999999999,13.999999999999966,0.0,0.0,0.1,9.853319107971208,6.4321993440775245,1.042453e6,1,0,0,0,1.0,1837244,0,9.231642563559115e-8,1.1854649972051553e-8
12.199999999999973,13.999999999999966,0.0,0.0,0.1,5.6859806126449675,8.710641541817814,1.0431e6,0,0,0,1,1.0,1838387,0,2.7443226709330752,11.314408378306641
2.500000000000001,5.999999999999995,0.0,9.99999999999998,0.1,11.149229933235565,8.352003127352248,1.044075e6,1,0,0,0,1.0,1840105,2,0.018665522032580397,0.00914279624508675
3.2000000000000015,2.0000000000000004,20.000000000000014,0.0,0.1,6.051041679256398,7.128074854005883,1.045183e6,0,0,0,0,1.0,1842045,1,1.4505780422204435,1.0676987268962481
2.800000000000001,2.0000000000000004,13.999999999999966,0.0,0.1,8.145733795756518,6.560587145361825,1.046851e6,0,0,0,0,1.0,1845002,2,6.971926611479091,4.290625114665648
1.9000000000000006,2.0000000000000004,0.0,9.99999999999998,0.1,8.499577980808146,6.259777561685053,1.048462e6,1,0,0,0,1.0,1847852,2,8.212432916637144e-14,3.0794162647231484e-14
3.2000000000000015,2.0000000000000004,0.0,9.99999999999998,0.1,9.277923676539075,9.771809605273345,1.0485e6,1,0,0,0,1.0,1847918,2,0.9235804349050063,0.5883689982697828
0.4,7.999999999999988,15.99999999999996,0.0,0.1,8.334551568656336,9.070733443668416,1.049728e6,0,0,0,0,1.0,1850050,1,9.928044855171603e-5,5.867027400328166e-6
0.6,2.0000000000000004,13.999999999999966,0.0,0.1,9.113138631530218,7.25891551898104,1.050425e6,0,0,0,0,1.0,1851290,1,0.17719061326787813,0.01657460445089746
1.3,2.0000000000000004,0.0,9.99999999999998,0.1,7.043365278022333,7.830356668175615,1.051187e6,1,0,0,0,1.0,1852638,2,0.2936310313476444,0.0646141151395947
1.9000000000000006,0.9999999999999999,13.999999999999966,0.0,0.1,7.47893178670962,8.908908878816977,1.052166e6,0,0,0,0,1.0,1854363,1,0.00023945833214579867,8.122606944499984e-5
3.800000000000002,2.0000000000000004,15.99999999999996,0.0,0.1,3.2891711663002585,9.842810693704365,1.052461e6,0,0,0,1,1.0,1854876,1,0.01870638180612686,0.015080627424823563
0.4,0.9999999999999999,13.999999999999966,0.0,0.1,5.197158563735365,9.207245255302364,1.053139e6,0,0,0,0,1.0,1856075,1,1.2755728474970383,0.07532872046068667
2.0000000000000004,2.0000000000000004,0.0,9.99999999999998,0.1,8.440916261602233,9.975852557468697,1.053175e6,1,0,0,0,1.0,1856143,2,4.375798656325485,1.527708858280167
1.2,2.0000000000000004,0.0,9.99999999999998,0.1,6.192363915289518,9.824814789680495,1.053618e6,1,0,0,0,1.0,1856927,2,0.9739972394508548,0.1903346765119415
1.8000000000000005,5.999999999999995,0.0,9.99999999999998,0.1,12.720645173937564,7.049986542825572,1.053984e6,1,0,0,0,1.0,1857569,2,0.00014702214159182332,4.883480068387401e-5
7.899999999999988,2.0000000000000004,17.999999999999986,0.0,0.1,7.659702478286883,7.9237147234205,1.054339e6,0,0,0,0,1.0,1858191,1,9.547700137967915,32.59609638912928
2.500000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,6.570351965052878,9.549579985358214,1.054801e6,1,0,0,0,1.0,1859017,2,0.0757807670339888,0.03525054727947632
3.2000000000000015,0.9999999999999999,13.999999999999966,0.0,0.1,2.2776648299790154,6.990600379325757,1.054923e6,0,0,0,0,1.0,1859222,2,13.92580499056438,10.321799478646337
7.19999999999999,13.999999999999966,0.0,0.0,0.1,3.7786414608291743,6.135367294532598,1.055139e6,0,0,0,1,1.0,1859601,0,0.9528322471337127,2.656263315106681
6.8999999999999915,13.999999999999966,0.0,0.0,0.1,19.485206687410095,7.1077372565750725,1.057749e6,1,0,0,0,1.0,1864202,0,1.260159699710625,3.6529787993306386
12.89999999999997,13.999999999999966,0.0,0.0,0.1,9.276129562956298,6.53657426019425,1.057749e6,0,0,0,0,1.0,1864202,0,0.0020834594572659696,0.0071072529615400365
14.899999999999963,13.999999999999966,0.0,0.0,0.1,9.196598963228157,8.329821138781348,1.057814e6,0,0,0,0,1.0,1864317,0,0.011956949175120189,0.05047426451959322
0.30000000000000004,2.0000000000000004,0.0,9.99999999999998,0.1,6.372533994643705,8.995421425726478,1.058562e6,1,0,0,0,1.0,1865641,2,1.3862541109800126e-5,6.180912088006028e-7
3.600000000000002,13.999999999999966,0.0,0.0,0.1,5.096965701878686,9.513808155071159,1.058688e6,0,0,0,0,1.0,1865858,2,1.4176764461741425,1.068927219391768
7.499999999999989,2.0000000000000004,13.999999999999966,0.0,0.1,7.986345722809631,7.917746933947937,1.058735e6,0,0,0,0,1.0,1865936,2,0.00013151846485122772,0.0004019039399728694
0.6,5.999999999999995,0.0,9.99999999999998,0.1,9.47369069124112,8.07490547216523,1.059009e6,1,0,0,0,1.0,1866419,2,4.306758832650804,0.3985822176964048
4.100000000000001,0.9999999999999999,13.999999999999966,0.0,0.1,12.143276595298193,6.547057537014295,1.059926e6,0,0,0,0,1.0,1868042,2,0.004665081443032392,0.005406265212683194
8.499999999999986,13.999999999999966,0.0,0.0,0.1,5.974764823180621,5.260926736830208,1.060895e6,0,1,0,1,1.0,1869753,1,0.0020477891041906244,0.0053162001133109805
11.499999999999975,13.999999999999966,0.0,0.0,0.1,5.0725074565655115,6.926552588425686,1.060895e6,0,0,0,0,1.0,1869753,1,0.0024364951505902325,0.008135987308324627
